Crimes,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Violent Crimes,"229,766","207,874","210,492","210,510","207,988","204,591","197,432","189,593","194,128","191,493","185,233","174,579","163,957","155,313","160,629","151,634","151,425","166,588","174,701","178,553","176,866","173,205","173,864","183,546","193,019","199,838"
Homicide,"2,170","2,006","2,074","2,201","2,392","2,402","2,394","2,503","2,483","2,258","2,143","1,970","1,809","1,794","1,878","1,745","1,697","1,861","1,930","1,829","1,739","1,679","2,202","2,361","2,206","1,892"
Rape (Forcible Rape prior to 2014),"9,777","9,443","9,785","9,882","10,176","9,918","9,598","9,345","9,213","9,047","8,906","8,698","8,325","7,678","7,828","7,459","9,397","12,793","13,695","14,724","15,500","14,720","13,439","14,435","14,346","13,723"
Rape,"7,939","7,757","8,197","8,219","8,620","8,461","8,287","8,115","7,937","7,931","7,859","7,719","7,408","6,792","6,935","6,665","8,562","11,827","12,785","13,799","14,526","13,791","12,641","13,730","13,704","13,039"
Attempted Rape,"1,838","1,686","1,588","1,663","1,556","1,457","1,311","1,230","1,276","1,116","1,047",979,917,886,893,794,835,966,910,925,974,929,798,705,642,684
Robbery,"68,752","60,027","60,243","63,299","64,805","63,597","61,573","63,424","70,961","70,702","69,391","64,006","58,100","54,358","56,491","53,621","48,650","52,785","54,769","56,609","54,312","52,050","44,684","43,628","47,669","49,177"
Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,
Firearm,"23,799","19,912","20,971","22,606","23,444","22,155","20,609","21,947","24,409","23,519","22,089","19,863","18,076","16,180","17,083","16,274","13,546","14,706","15,490","15,349","13,501","12,414","11,176","12,413","13,714","13,518"
Knife or Cutting Instrument,"6,857","6,091","6,078","6,512","6,599","6,453","6,119","6,230","6,833","6,632","6,253","5,658","5,051","4,817","4,920","4,641","4,553","5,028","5,207","5,277","5,031","4,719","4,359","4,081","4,287","4,371"
Other Weapon,"6,699","5,861","5,610","6,034","5,769","5,644","5,521","5,949","6,683","6,593","6,430","5,816","5,361","4,907","5,259","5,089","4,818","5,651","6,067","6,502","6,538","6,068","5,832","6,048","7,014","7,565"
Strong-Arm,"31,397","28,163","27,584","28,147","28,993","29,345","29,324","29,298","33,036","33,958","34,619","32,669","29,612","28,454","29,229","27,617","25,733","27,400","28,005","29,481","29,242","28,849","23,317","21,086","22,654","23,723"
Location,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway,"31,866","28,271","27,490","29,000","29,603","29,511","28,738","30,381","34,685","34,880","33,983","31,145","28,360","26,302","26,246","24,463","22,052","22,872","22,953","22,494","21,231","19,782","16,613","15,674","16,434","16,232"
